user_id,country,gender,user_device,test_group,converted,total_spent,join_dt,dated
1049059,USA,M,,A,0,0,1/25/2023,
1023197,MEX,F,,A,0,0,1/26/2023,
1007250,BRA,F,,A,0,0,1/25/2023,
1047288,ESP,F,,A,0,0,1/25/2023,
1000732,GBR,F,,B,0,0,1/31/2023,
1015065,,n/a,,B,0,0,2/6/2023,
1017848,USA,M,,B,0,0,2/2/2023,
1039831,USA,M,,B,0,0,1/25/2023,
1030220,USA,M,A,A,1,63.14,1/25/2023,1/25/2023
1030540,DEU,M,,A,0,0,1/25/2023,
1038734,USA,n/a,,B,0,0,1/26/2023,
1018592,BRA,F,,B,0,0,1/30/2023,
1014100,CAN,M,,B,0,0,1/25/2023,
1012966,USA,M,,B,0,0,1/31/2023,
1043124,MEX,M,,B,0,0,2/3/2023,
1045543,USA,F,,A,0,0,1/25/2023,
1028345,AUS,M,,B,0,0,1/27/2023,
1010592,USA,F,,A,0,0,1/30/2023,
1010359,USA,F,,B,0,0,2/1/2023,
1034629,MEX,M,,B,0,0,1/27/2023,
1036364,ESP,O,,B,0,0,2/1/2023,
1002179,MEX,F,,B,0,0,2/2/2023,
1021570,BRA,n/a,,A,0,0,1/25/2023,
1024119,MEX,F,,A,0,0,1/26/2023,
1002197,USA,M,,A,0,0,1/25/2023,
1017234,MEX,n/a,,B,0,0,1/27/2023,
1006946,BRA,M,,B,0,0,1/26/2023,
1045422,ESP,M,,B,0,0,1/27/2023,
1008206,MEX,M,,A,0,0,1/27/2023,
1004699,DEU,F,,B,0,0,1/27/2023,
1031281,USA,n/a,,B,0,0,1/25/2023,
1004136,FRA,M,,A,0,0,1/28/2023,
1013520,BRA,M,,B,0,0,1/27/2023,
1008869,USA,M,,A,0,0,2/5/2023,
1039864,DEU,M,,A,0,0,1/26/2023,
1036441,DEU,M,,B,0,0,1/25/2023,
1025697,BRA,n/a,,A,0,0,2/3/2023,
1024387,GBR,M,,A,0,0,1/31/2023,
1005382,GBR,M,,B,0,0,1/29/2023,
1037159,TUR,n/a,I,B,1,54.44,1/31/2023,1/31/2023
1032910,USA,F,,B,0,0,2/2/2023,
1049191,USA,F,I,A,1,26.33015619,1/28/2023,1/29/2023
1035614,USA,O,,B,0,0,2/3/2023,
1002354,DEU,M,,A,0,0,1/27/2023,
1011245,USA,M,,B,0,0,1/25/2023,
1007166,DEU,O,,A,0,0,1/26/2023,
1027978,DEU,n/a,,B,0,0,1/26/2023,
1002259,USA,F,,B,0,0,2/5/2023,
1026556,GBR,F,,A,0,0,2/1/2023,
1039342,USA,F,,B,0,0,1/31/2023,
1038054,MEX,M,,A,0,0,1/27/2023,
1037215,DEU,F,I,A,1,80.31,1/30/2023,1/30/2023
1032173,USA,M,,A,0,0,2/3/2023,
1023210,USA,O,,A,0,0,1/31/2023,
1031949,BRA,M,,B,0,0,1/28/2023,
1020486,BRA,M,,B,0,0,1/25/2023,
1008607,DEU,M,,A,0,0,1/26/2023,
1002698,BRA,F,,A,0,0,1/26/2023,
1025951,TUR,F,,A,0,0,2/3/2023,
1031402,DEU,n/a,,A,0,0,1/25/2023,
1030203,USA,M,,A,0,0,2/1/2023,
1007873,,M,,A,0,0,1/27/2023,
1021255,USA,F,,A,0,0,2/2/2023,
1048920,TUR,O,,B,0,0,1/25/2023,
1034740,USA,M,,B,0,0,1/25/2023,
1042818,BRA,M,,A,0,0,1/29/2023,
1024949,DEU,F,,A,0,0,1/29/2023,
1022168,USA,n/a,,A,0,0,1/29/2023,
1020956,USA,F,,A,0,0,1/29/2023,
1033806,USA,M,,A,0,0,1/25/2023,
1047261,USA,F,,A,0,0,1/26/2023,
1015400,ESP,F,,B,0,0,1/25/2023,
1034126,USA,F,,A,0,0,2/3/2023,
1044804,CAN,M,A,B,1,53.65,1/28/2023,1/29/2023
1044535,USA,M,,B,0,0,1/29/2023,
1042434,USA,n/a,,A,0,0,1/27/2023,
1030110,TUR,n/a,,B,0,0,1/26/2023,
1007160,USA,M,,A,0,0,2/2/2023,
1045499,MEX,F,,B,0,0,2/1/2023,
1025082,ESP,n/a,,A,0,0,1/28/2023,
1005331,USA,M,,A,0,0,1/31/2023,
1038016,ESP,O,,A,0,0,2/3/2023,
1011518,ESP,F,,B,0,0,1/25/2023,
1002104,USA,n/a,,B,0,0,1/29/2023,
1048257,CAN,M,,B,0,0,2/4/2023,
1045297,USA,F,,A,0,0,1/25/2023,
